#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13
-1,12,1,2.5,0,0,0,1,1,11711,,14046,34,21,0.153846,1818,1424,1,2,11,35016,33528,34,,,,61,11711,17,17361,83380,18716,28681,4512,4124,4271,18738,2891,39038
-1,2,11,1,0,2,1,0,1,214,,58396,443,198,4,179,747,1,1,2,58396,58396,11,345.5,827.2,,7,717988,5,48,4,13,269,18,45,266,632,810,7
-1,2,11,2,0,2,1,1,1,31,,238977,1450,4,4,572,903,1,2,2,243361,240558,23.6667,142,547.5,4787.33,1183,20836,1356,823,4639,2483,110,329,972,47,142,6521,728
-1,5,8,1.8,1,0,1,1,1,187,,12025,855,10,1.5,380,641,1,1,5,14357,17671,17,177.333,,2091,4342,1415,849,207,1117,39,96,2630,806,18,68,16,492
-1,13,0,1.23077,,1,,1,,,,6361,,106382,0.0714286,0,658,,1,12,7295,6481,,,,,11,432990,25034,138006,12822,6974,5938,3161,2653,13028,4516,11556,70284
-1,4,9,2,0,0,1,0,1,7061,,36027,283,26182,2,592,682,2,1,4,51217,51217,11.8,136,1108,,50283,8858,8477,62099,8783,936,108,216,1202,412,1082,5911,10143
-1,0,13,,1,,1,,1,153,,,1230,,14,421,0,1,,0,,,42,184.5,917.667,9662,1194,420,899992,5622,14021,7436,2682,270,1398,1196,2997,326846,22
-1,4,9,9.25,2,5,3,3,2,62,,12800,841,2,2,458,689,0,0,4,38027,2761,,236,598.833,2898,57752,4726,21137,75550,5,67,6,25,855,5682,173,120,52685
-1,1,12,1,2,0,1,0,1,52998,,1357,4873,129,6.5,577,1141,2,0,1,1357,1357,62,244,764.667,13785,13,4065,66,412,2675,1240,79128,3067,27,15756,10150,42170,24524
-1,5,8,1.6,1,2,1,2,1,35486,,5466,2302,64,1.5,958,1179,2,0,5,6892,5658,21.5,318,847,5630,134853,1613,436573,207,182383,194840,76297,63274,919,1551,1253,791258,17
-1,6,7,1.83333,2,2,2,1,1,1517,,4509,1756,239,1.14286,543,340,0,1,6,7279,6628,31.5,273,811,5434.5,1159,3795,1318,5000,289,1781,163,10491,1457,1530,15368,2941,13789
-1,11,2,3.27273,1,7,2,12,1,93371,,18667,653,6471,0.25,638,1359,0,1,11,43963,13343,,,653,,0,16725,4818,3129,5057,13951,9832,24270,70690,25975,15593,9,9103
-1,13,0,2.84615,,0,,1,,,,19049,,527,0.0714286,0,862,,2,12,62861,82012,,,,,0,5627,124,19980,38935,164093,43741,77575,97710,1356,2813,16326,2428
-1,0,13,,5,,8,,4,91737,,,7991,,14,236,0,0,,0,,,,,876.2,13072.1,0,7,2,68212,8,750,164,5,4,10059,1529,0,9936
-1,1,12,1,1,-3,1,0,1,43,,10941,340,4,6.5,485,1068,1,0,1,10941,10941,28.5,,651.833,,70900,543,13143,2091,2694,16,18,9,785,3,507,8,14
-1,7,6,1.85714,2,4,2,3,1,148080,,4079,877,1808,0.875,512,270,1,0,7,5214,5174,34,235,,4688,6,27363,245951,583078,11,5,19537,5,30943,137615,1349,122444,2
-1,1,12,2,0,1,1,0,1,34045,,3216,752,3545,6.5,578,1440,1,0,1,6056,375,20.8,132.667,1078.67,5288,133804,139,55,139,1265,174,110,16,37,3769,1449,62135,19
-1,10,3,1.6,0,0,0,1,1,23437,,6670,309,289,0.363636,637,732,0,1,10,8232,8851,24,76,826,,26,2301,2683,2944,96,986,910,2824,2979,5606,646,62720,8
-1,3,10,5,1,5,1,0,2,38,,14065,2148,2,2.75,354,375,1,1,3,59641,19502,31,132,683.75,9156.5,129,23,89,45,179,15,18,562,75,387,176,132,1240
-1,2,11,1,1,1,1,0,1,12554,,350,3195,721,4,740,2971,2,6,2,350,350,1,381.5,945,6534.8,99,15580,85,48363,1357,6552,1978,745,11,48,105,17,1507
-1,0,13,,8,,9,,4,7152,,,5830,,14,742,0,1,,0,,,,78,1058,7742.12,8,14,1504,305,1351,4056,7434,1876,3525,172,8519,189,22932
-1,9,4,1.77778,0,0,0,1,1,183259,,4321,966,72061,0.5,329,868,1,1,7,9390,1385,18,292,624,2930,307,53,2691,24,650424,11606,2738,10524,1037,62,4,8839,134
-1,2,11,0,0,0,1,0,1,5154,,,1285,,4,456,489,2,1,0,,,16,156.833,1044.5,5542.5,189536,63437,1495,4282,3,86,71,5,1323,2539,204,81,115
-1,0,13,,3,,6,,1,1520,,,2725,,14,584,0,1,,0,,,24,395,711.5,10440.3,26,416,1258,960,246,8971,4399,2732,4471,3137,2110,1853,10
-1,0,13,,3,,3,,2,1033,,,2227,,14,437,0,1,,0,,,26,133,778,3461.14,18721,9218,9,5350,2840,29,4,8440,6077,4453,4308,17227,5865
-1,2,11,4,2,3,1,0,1,27162,,18084,414,4700,4,665,745,1,3,2,70311,1007,37.25,301,652,2245,42,52,14,19,89,528,464,919,2055,1485,213,2030,983
-1,0,13,,3,,2,,3,133,,,5355,,14,497,0,0,,0,,,,104,792.25,8292.12,14738,35923,5558,14216,66433,8908,1163,5525,14569,45,5745,122467,1345
-1,9,4,2.66667,1,2,0,2,1,290,,46595,3456,792,0.5,591,1183,0,1,9,85582,85582,12,300,,13498,0,136926,4140,6004,27178,15653,5719,31588,7453,6,17,9,702
-1,0,13,,1,,0,,1,45,,,1925,,14,326,0,1,,0,,,8.5,311.667,1176,4842.25,43,21,15,10,94,39,25,1533,106,2436,198,5,368
-1,9,4,2.11111,2,1,3,1,1,1053,,36569,1934,13,0.5,1469,875,0,1,9,53033,43999,,241,730,3383,31,10185,2577,2011,2263,564,2140,4292,24058,1600,147,3026,326
-1,12,1,1.66667,0,0,0,0,1,1321,,4238,87,23,0.153846,519,1494,1,1,12,8789,3246,,87,,,13,28689,1321,3063,38803,8167,106,511,861,307,322,5055,217
-1,0,13,,1,,3,,2,482,,,1949,,14,1399,0,1,,0,,,12.6667,327.5,948.333,4359.4,10,1037,399,54,376,1851,7339,205,9927,29133,37459,96501,154904
-1,2,11,1.5,1,1,1,0,1,20,,2727,408,134,4,609,4465,1,6,2,3220,3220,20.8,261,714.333,1716,250911,610225,9,52,32,1744,62797,1496,1437,11413,252,37810,914
-1,1,12,3,12,0,17,0,5,7,,61870,6979,6,6.5,484,273,1,0,1,177441,4202,13,,840.25,11481.7,15328,1199,23,34,19,118,23,23,11,28,105,3825,3
-1,9,4,4.55556,1,6,1,5,1,289119,,14061,499,26,0.5,354,2646,1,3,9,45361,15987,16,427,1124,,0,55855,249,96578,24276,252165,174,21418,169943,896,137112,213286,44358
-1,0,13,,2,,2,,2,62991,,,843,,14,475,0,2,,0,,,23,241.6,1034,4298,0,340799,53,338537,4675,28825,26825,10,291,159,2254,2997,22820
-1,11,2,1.63636,1,0,0,1,1,306522,,38418,152,1718,0.25,624,1054,0,1,11,62879,68808,67,236,,,50395,1160,222,1267,9098,990,1414,108,1255,27,4576,12715,235229
-1,6,7,3,2,3,2,1,2,50549,,45190,871,6483,1.14286,442,647,1,1,6,92227,18674,,,870.667,,0,40298,9,10383,7378,31,27521,26,15245,16,392,30254,14405
-1,3,10,6,10,9,21,8,3,5032,,20067,32702,11,2.75,577,1223,1,0,3,37218,16526,,,524,36277,379,1740,10,1163,3923,2958,57,70,1402,36,1115,74,60
