#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17
-1,0,17,,1,,2,,2,257668,,,655,,18,740,0,2,,0,,,30.8,213,485,2453.67,100913,27,12,3,5,15,55,261,513,19,52,1331,42,21,370,84,45
-1,1,16,2,3,1,3,0,2,4389,,2066,5696,173,8.5,488,161,0,0,1,3423,3423,,93,916.6,9384.12,0,8,7,25,13,100,17,4174,5,19,1276,529,1263,7,1316,113,4
-1,17,0,2.05882,,1,,1,,,,16046,,535,0.0555556,0,334,,0,17,30137,,,,,,14147,348,8335,291,1311,1606,1145,6064,3979,5825,10323,60241,21467,20633,120474,173104,141213
-1,0,17,,1,,2,,1,444,,,438,,18,324,0,2,,0,,,22,373.2,709.2,1894,805947,14,17410,147,30,3,468,613,8,8,15,65,1330,18,189,175,53
-1,16,1,2.25,0,2,0,2,1,827,,12165,312,96,0.117647,2325,1391,0,0,16,19510,10786,,312,,,12,7603,1095,2854,13379,3043,2545,62382,30246,827,12181,29614,6289,23214,576,133360,1485
-1,0,17,,6,,6,,4,2445,,,8835,,18,515,0,1,,0,,,66,71,1423,10616.8,34,146,180,35,129,105,33,772,156,51,109,22,244,23,652,559,14
-1,8,9,2.875,2,2,3,2,1,31442,,11596,1363,9,1.11111,333,962,1,1,8,23118,18271,30,,837,2953,93252,291,1365,73,42,985,341,926,659,2143,514,28079,14857,77525,311000,33122,5732
-1,15,2,1.86667,0,1,0,1,1,15,,17879,1055,21,0.1875,522,510,1,1,12,54312,77565,31,,,2079,2,11,1404,382640,14371,37901,47357,2632,1757,10117,5422,284,1320,63137,9111,87416,34953
-1,2,15,1.5,1,2,1,1,1,49634,,14376,633,22,5.33333,467,632,1,1,2,24936,48845,11.1667,206,520,2519.33,30,299787,149558,95955,464,6648,172,13,13,7,9,13,27475,135,191,1258,154
-1,17,0,2,,0,,1,,,,36153,,10,0.0555556,0,1760,,2,17,58981,57382,,,,,11,58918,119598,27433,23136,19691,298,2994,27760,2770,67687,3828,1699,93904,2552,2698,27765
-1,16,1,5.6875,0,12,0,21,1,32,,25011,41203,13,0.117647,191,427,0,0,16,63646,35992,,,,41203,0,4012,19780,3725,3787,2404,2291,8365,11021,24934,2883,7496,7529,5218,3041,4155,3168
-1,8,9,1.375,1,1,1,1,1,121018,,27282,972,3662,1.11111,286,672,1,1,8,36592,31029,,138.8,1205.5,2823.5,28910,1052,9536,2363,7629,19267,177,3200,495,5,857,97995,127468,52179,378198,31097,124450
-1,13,4,1.38462,1,0,1,2,1,10114,,2973,29,501,0.357143,1120,2316,0,2,12,4202,2772,29,,,,25,8714,3026,5939,14445,17289,8744,21271,1482,10177,5806,12889,1399,8,223014,17147,61
-1,17,0,2,,0,,1,,,,14342,,7066,0.0555556,0,182,,1,17,23423,13183,,,,,0,139,23,27,22,2580,51,192,12815,3089,2938,8976,852,141,182,3858,471
-1,16,1,1.75,0,1,0,2,1,254,,24456,283,46418,0.117647,1512,921,11,2,14,42359,27637,,283,,,4,254,483,52,80,209,1587,3314,4360,2294,1484,596,899,815,830,1884,118
-1,6,11,2.16667,2,4,1,2,2,43537,,33011,5123,33,1.71429,505,845,1,0,6,54814,38521,36,159,625.5,9884.5,293,125,24497,319646,34545,6,5349,192,171,2862,18509,8853,20099,64966,29938,79551,299403
-1,7,10,1.28571,1,0,1,0,1,1394,,6159,477,10724,1.375,376,2329,1,0,7,9417,3438,23.6,161,909.5,2507,2967,532,1258,54,1134,5,1249,455,12646,1702,898,2874,4872,171,5794,8228,8804
-1,16,1,2.125,0,1,0,1,1,30308,,13622,298,33422,0.117647,378,736,0,1,16,29133,15550,,298,,,0,10175,30304,4,9013,8252,80567,24784,60164,62106,23146,53228,23031,16860,21611,47844,4070
-1,1,16,1,3,0,5,0,1,1391,,10172,1255,74652,8.5,889,2181,1,0,1,10172,10172,11,148.8,812.833,6594.5,3,24290,42789,117095,31397,31,201827,36314,9785,853,769,3866,111,5581,4623,7014,41482
-1,0,17,,4,,2,,2,1003,,,1950,,18,754,0,1,,0,,,18,82,876.444,5782.75,237808,4652,71,5431,9984,11403,2730,385,1165,4360,20301,20340,2472,13,11773,28507,316
-1,4,13,1.75,2,1,1,0,2,2088,,114515,4664,36,2.8,373,1498,1,1,4,166994,120696,,254,982.5,7605.43,1496,74,253,5427,99,319,320,934,37,11226,323,8469,1330,208,39,96,427
-1,2,15,2,13,3,36,2,3,337864,,10661,1976,82,5.33333,300,206,1,0,2,20126,19441,47.5,331.5,802.667,3309.38,11466,5,76544,30576,40629,150762,51618,4,26148,3,4,24363,38756,33636,35722,1098,144156
-1,0,17,,0,,1,,1,566,,,1637,,18,322,0,1,,0,,,6,152,757.25,4006,15,114,1440,58973,17142,4,139177,14,1110,19,9,9,9,7,22,59,60
-1,0,17,,1,,1,,1,23962,,,1744,,18,330,0,0,,0,,,37,220.667,994.8,15184,5,7,7,1240,28,10,10,7712,3,3,5203,25002,29373,144116,13,222301,10
-1,3,14,2.33333,1,1,1,0,1,139061,,44768,340,15,3.75,218,596,1,6,3,65386,7442,22,214.429,701.5,1770,0,1374,2791,14,16,45,10,220,184,5251,11,98,10,15,192,2545,10396
-1,17,0,2.41176,,1,,1,,,,9908,,30,0.0555556,0,1060,,2,16,22377,18745,,,,,14,425863,288,20012,20081,1723,3109,1590,3721,7772,12657,362,6701,5610,12975,102,24363
-1,16,1,1.375,0,0,0,0,1,160,,6673,4,1021,0.117647,134,1068,0,1,15,7331,7366,4,,,,3083,348109,24352,5871,23219,947,893,6531,1752,4592,5569,906,1532,5027,5013,11523,48984
-1,0,17,,1,,1,,1,8,,,1518,,18,380,0,2,,0,,,28.3333,325.4,1017.25,4004.6,1225,53,941,1357,15,58,5723,10,171,1008,1642,3,9041,13,8,121,39
-1,6,11,1,0,0,1,0,1,134780,,908,429,331,1.71429,666,3878,0,3,5,972,1350,19.5,207.167,1144.33,,0,6789,1325,21842,4564,2865,2759,4441,1115,2784,486,19998,92,8251,1414,37,7257
-1,0,17,,2,,2,,1,193,,,14148,,18,456,0,1,,0,,,23.3333,362,1085.4,46918.8,0,1618,19,23431,18,3658,12892,93,567,7,1064,323,5,1067,11,5,1
-1,9,8,1.55556,0,1,0,1,1,246,,4624,1024,260,0.9,675,591,0,2,8,5587,6013,29.3333,193.5,775,6163,99,4,184182,1405,37521,47992,9,1636,7,22,588,253,20282,2875,32163,3779,86431
-1,13,4,1.38462,1,1,0,1,1,24754,,20472,1688,2651,0.357143,618,753,1,1,12,36012,41393,,132,,6356,4,86089,8503,195,1009,4854,2656,27501,7055,4440,1286,1420,1552,145,1294,8377,8303
-1,16,1,2.6875,3,2,0,4,1,85,,19362,355,3132,0.117647,1289,289,0,1,16,29887,5925,,355,,,321,178447,2835,20363,27021,118533,42524,33276,85,47451,55071,27622,31274,119709,28761,162331,15922
-1,2,15,2,2,5,2,2,1,63590,,813,633,69115,5.33333,1071,587,1,1,2,856,,29.2857,143.333,865,5405,44,6,314,33,60,15,17,18,36,6,12,1477,15,5700,12446,16,5586
-1,1,16,0,1,1,1,0,1,13,,,1487,,8.5,373,937,0,1,0,,,13.25,270.333,1086.5,4275.25,14815,26,12232,503,3183,4115,1537,777,3703,660,7,146,11961,4246,75013,44034,20522
-1,5,12,4.4,1,3,1,2,1,3214,,11853,8957,165,2.16667,414,642,0,0,5,36266,15813,8.5,332,743.667,20913.6,60,21,318,1595,1153,28,2977,1300,399308,2,191250,171722,6,96287,118184,83549,2889
-1,1,16,1,1,1,1,0,1,331404,,507,2969,9302,8.5,289,507,0,0,1,507,507,42.2,270,530,14810.7,150596,9302,69253,28797,88071,1082,1660,4073,11526,30225,800,13,19,61025,20222,7561,21594
-1,9,8,1.55556,0,1,1,1,1,41904,,13602,338,36843,0.9,415,1677,1,3,9,17536,16956,11.5,149,,1935,7987,1589,4243,7351,11319,123,7749,42428,18868,1690,1375,6933,2824,69514,148177,4178,10
-1,17,0,1.47059,,1,,1,,,,19388,,777,0.0555556,0,496,,0,15,21371,2185,,,,,7,220273,8699,155,1075,88,1634,10862,1960,3902,4333,14854,1069,20,161,27587,333
-1,9,8,2,1,1,0,1,1,133,,10089,148,131,0.9,783,1261,1,1,8,22812,12910,44.5,252,,,189947,1751,43,1135,172,7070,3103,8362,62585,976,44692,30194,3856,16161,105,8564,1214
-1,0,17,,2,,3,,2,186088,,,1967,,18,481,0,1,,0,,,28.6667,207.75,1224,5281.8,22265,11,82,37111,4,153824,26059,53168,3449,1575,81102,178916,32781,8883,2853,935,677
-1,3,14,1.66667,2,2,2,1,1,163380,,4151,1867,4738,3.75,328,574,1,1,3,6715,8011,46,159.75,725,3878.67,157170,216421,14466,221560,38623,13,13118,200,34057,37413,76583,3,9,73429,195835,23000,48861
-1,1,16,2,2,1,1,0,1,2480,,3249,6628,6,8.5,610,580,0,0,1,6498,,,85,1059.5,9830.11,8732,1864,772,40,1459,21,3643,9,1593,559,41,1330,1474,4943,752,1220,3080
-1,8,9,1.5,0,0,1,0,1,86556,,5089,928,74007,1.11111,448,658,0,1,8,12266,6751,13,260.429,,6518,50007,98216,85,27378,44531,2122,5,22151,32619,2238,31643,2,63,18,8,36,6
-1,7,10,2.42857,0,2,1,3,1,80,,13698,488,119,1.375,434,689,1,1,7,16939,13943,20,257,,3518,0,2257,20770,13747,10470,14732,13761,4240,507,10261,18785,17,33100,9222,2856,30816,6
-1,2,15,3,1,1,1,0,2,43672,,16291,1809,12,5.33333,456,174,1,1,2,19319,14471,,141.333,803.2,3480.17,0,33,2537,16,19,369,28,296,6,8,28430,7171,5,9,7,13026,26
-1,1,16,1,2,7,1,0,1,752,,37971,356,178,8.5,1131,807,2,7,1,37971,37971,32,414.5,1396.33,,22,6,76,1691,439,6288,29,13717,2690,1628,1337,23678,34,18801,4413,11,4163
-1,8,9,4.625,1,5,1,6,1,25704,,19372,16424,28,1.11111,1105,876,1,1,8,52296,3875,,,1074.25,31773.5,17,4592,143,23805,4717,22800,183,34851,1447,16,4325,1323,21,1188,224,1530,12956
-1,17,0,2.41176,,0,,1,,,,17406,,65,0.0555556,0,1829,,3,17,32965,19042,,,,,19,2024,1678,1905,929,5524,4420,2674,2541,726,5731,5432,2673,11880,901,129,1208
-1,5,12,1.8,3,2,3,3,1,43763,,3522,5581,4350,2.16667,399,1150,1,0,5,5681,1631,27.75,420,795,12971.2,2,182601,10948,35183,15366,15903,18690,175467,763,6856,9616,26566,1383,168321,5553,174389,5524
-1,15,2,1.93333,1,0,0,1,3,96,,5935,147,103,0.1875,732,3064,2,1,15,7663,7959,,147,,,21,1500,289,688,128,4672,45,1907,6820,2613,185,2550,69,6,164,1349,656
-1,1,16,10,1,7,4,0,2,103,,20730,4582,3,8.5,344,439,1,0,1,85583,49013,30,141.2,1265,10147.3,49,24,10,532,83,154,18,17,600,13,27,526,46,43,129,123,171
-1,16,1,1.6875,1,1,0,2,1,1049,,8143,172,674,0.117647,254,386,0,1,16,15612,13380,,172,,,0,308972,70690,29199,63311,28194,30222,37767,1049,295263,41,19168,29139,28586,57200,28514,10796
-1,5,12,1.4,1,2,0,2,1,5638,,14117,2674,773,2.16667,947,1137,1,1,5,16052,14226,19,293.333,1262.5,12967.5,330805,780,498,6,1230,28365,1393,587,26953,113695,38570,67764,19,446732,70305,47,5428
-1,0,17,,5,,15,,2,2326,,,533,,18,361,0,2,,0,,,22.875,259.25,780.333,2754,31372,6755,1630,2078,21213,1731,1013,7,4,23,75141,2449,1444,135974,16634,100006,769
-1,7,10,1.57143,0,1,1,1,1,59633,,10833,1606,910,1.375,652,1157,1,1,6,26390,3677,17.5,343,968.5,4568.33,1,23610,2296,325516,1107,158,11,11,13,412,50420,5238,112,11720,7525,2552,436
-1,2,15,3.5,1,1,1,0,1,277216,,10172,423,9,5.33333,399,387,1,4,2,16620,10405,18.8,215.6,842.75,1804,12895,20552,11497,11464,17,99,9,334,3777,16011,57,156,8081,68,13,29,50
-1,0,17,,3,,3,,2,60779,,,1553,,18,478,0,1,,0,,,11,295,956.333,3837,26030,40556,74715,37095,8944,4219,17066,2938,16157,15984,18724,35970,60557,40132,51587,72025,21
-1,0,17,,7,,6,,4,1242,,,5642,,18,325,0,1,,0,,,,248.667,848.8,10659.9,0,39965,242860,60,165,1289,40,20,21,19,36,107,1781,734,58,5,171
-1,3,14,2,2,0,2,0,1,1541,,3304,1306,7145,3.75,1711,1487,1,0,3,6107,1258,20,268.75,901.5,3831.75,42,184,4198,258,975,4896,109,963,23,2104,1996,337,12,1169,130,6,9997
-1,15,2,2.13333,0,2,0,2,1,211006,,29754,313,5046,0.1875,346,349,0,0,15,54508,23403,,312.5,,,0,55177,2223,18941,8253,10103,176132,67107,6254,58844,14695,9710,6370,126810,9705,37409,36262
-1,14,3,2.85714,0,1,0,2,1,540,,19455,568,12428,0.266667,78,364,0,1,14,38115,28030,,383,661,,0,283758,5541,13217,38465,1802,42879,24830,1042,22396,26,42532,37304,62098,4407,4279,81
-1,8,9,1.75,1,0,1,0,2,727,,14098,128,120,1.11111,635,2058,2,1,7,27890,1009,4.33333,190.167,,,59,4158,146,50,925,21,89,160,96,9,2744,267,-324,7191,1278,82,42
-1,17,0,2.23529,,1,,2,,,,45033,,82,0.0555556,0,1156,,1,17,58695,68357,,,,,1,2715,215,1632,31,1054,59,95,209,5499,1981,25,1450,617,20016,527,9841
-1,0,17,,1,,1,,1,1623,,,582,,18,323,0,1,,0,,,26.8,96.5,761.5,3068.5,67,5728,17,7,1318,17,3,28,275,1115,94,36,3,17,59,231,8
