#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19
-1,14,5,2.5,1,1,1,1,3,465,,7486,1131,97,0.4,226,956,0,1,14,11670,14748,,,1131,,12201,443,120,2796,117146,7302,41604,6312,1083,35840,10165,186,77400,1254,92,6184,2370,3201,51
-1,0,19,,2,,1,,1,73835,,,104,,20,679,0,1,,0,,,23.8333,183.333,585,,26623,88,13,29,18,10,46,41,67,9,443,17,614,30,410,3966,128,2701,24
-1,10,9,3.1,0,1,1,1,1,144,,46095,2179,50,0.909091,430,865,2,3,10,98048,80426,8,323.667,845.5,5645.67,0,23115,10205,94510,12,17496,7455,5790,43,12537,8,5518,8,3,7,764,2224,122,10345
-1,16,3,1.6875,1,0,0,1,2,36972,,14968,270,139,0.235294,431,973,0,1,16,20863,14239,,134,541,,4505,1441,4373,9624,1912,11138,1458,6061,161,2261,1475,459,1029,8870,1443,5443,1729,2970,4199
-1,10,9,1.7,2,1,1,1,2,28,,13092,1130,69,0.909091,269,383,2,1,10,25387,17067,29.5,307.25,,2959.67,1086,4691,1257,50,620,3628,17899,17765,7094,22858,829,918,1492,9,8353,24769,6856,18669,161
-1,12,7,2.33333,1,1,2,1,2,26118,,42457,614,30,0.615385,444,2046,2,2,12,75423,81849,32.5,419,635,1907,11,5516,5709,2762,8,197,22067,8668,23123,631,1837,1900,12235,107,8331,11,59,5935,317
-1,9,10,2.11111,1,1,1,1,1,121853,,7329,2237,101241,1.1,573,897,0,1,8,17993,19716,,194.2,865,6556.33,8504,235303,105564,158884,185922,5517,54346,60476,4615,12636,36,147,506,7,31,15,5269,3565,267252
-1,7,12,2.14286,4,1,11,2,1,311,,4796,920,101103,1.625,801,2293,2,2,7,8136,4593,36.6667,253.333,798.5,3489,20,52533,120498,464026,7813,4391,921,5457,9838,5,15,2574,135,185,1100,349,3849,4,152
-1,2,17,2.5,1,2,2,0,1,2118,,28042,1089,61,6,294,482,2,1,2,45003,15858,42.6667,140.2,1019,3855.33,60602,676,410,1422,5,3,95,989,532,678,210,207,141,40,96,967,293,13238,14183
-1,13,6,3.23077,1,2,1,2,2,308,,25556,7206,20,0.5,460,689,1,2,13,66614,51593,,125.5,660,41002,152557,2684,3317,224,3509,82,331,1421,17021,1151,2016,1183,4327,1860,8639,22888,2608,10597,910
-1,8,11,1.625,1,1,1,1,1,442,,77237,838,1317,1.33333,568,1227,1,1,8,106913,83630,45.4,208.333,1564,3401,3161,34603,2716,138325,198,2468,30,102611,1169,25704,3203,8579,221859,32968,10171,30229,155718,2008,777
-1,0,19,,2,,3,,2,1565,,,3564,,20,300,0,0,,0,,,8.5,145,724.857,7906.57,118019,11,14,25,67,1356,14,6,20,1383,167,989,5,12,415,5279,9,4,34
-1,6,13,2,1,2,1,1,2,8157,,40567,926,300,2,362,1474,2,1,6,46471,43492,30,198.25,878,2138.5,65,14807,100529,42,8335,9952,3091,40,4556,1167,300,3859,5679,191,1418,3,125,2,1309
-1,19,0,2.57895,,1,,1,,,,9541,,37,0.05,0,1612,,1,18,18874,9774,,,,,0,5586,1475,44,1165,6130,41301,278,28538,13214,12849,4188,43331,8631,1400,3198,16874,27500,1630
-1,17,2,2.23529,0,1,0,1,1,222,,20001,656,404,0.166667,788,896,2,2,16,57331,14302,,,656,,18,304,64327,5904,11899,140,101895,26,35823,93405,2082,5436,286341,3053,5785,12729,29062,1854,18481
-1,18,1,1.44444,1,1,0,1,1,480,,29321,125,942,0.105263,313,865,0,3,18,37115,28551,,125,,,106,67385,42847,46409,17287,13264,4951,480,9703,237819,12689,14882,5427,46385,16336,35230,8704,15826,1918
-1,0,19,,1,,1,,1,18,,,203,,20,574,0,3,,0,,,18.0833,102.333,834.75,,18,32,7,6,80,23,977,4233,7,52,137,19,140,2356,45,201,1222,213,40
-1,5,14,2.6,0,4,1,5,1,694086,,21673,1164,47,2.5,2284,4184,1,3,5,47240,,39,272.25,708.8,2907.5,0,20432,78,2914,7139,8298,651,37,102997,423,394,2306,4426,2904,38,1100,7801,1503,28
-1,0,19,,1,,2,,1,1344,,,4961,,20,1673,0,1,,0,,,20.8571,70,1031,12845.3,18,141,62,19,359,17,12,698,712,42,753,51,250,1198,700,12,12,50,6
-1,1,18,2,1,1,1,0,1,23,,33938,855,37,9.5,818,892,1,1,1,66384,1491,33.5,218.667,933,5069,625889,121,61,28,157,180,49,9,13,1034,38,25,61,41,173,3,9,10,22
-1,0,19,,2,,5,,1,14785,,,5400,,20,363,0,1,,0,,,22.25,124.333,907.667,11045.2,112072,7031,314,4028,206,1365,226,4712,841,1468,92,1302,15,73,1281,162,6965,238,10
-1,16,3,1.9375,3,1,4,2,2,183609,,8393,2466,10460,0.235294,391,1067,0,2,16,12356,12570,,,,2466,18,1357,573,5098,3020,9351,2869,12406,1937,138,2024,11514,14611,16172,1310,966,2265,3077,2178
-1,17,2,3.41176,2,2,2,3,3,44,,31190,1374,7,0.166667,208,759,2,1,17,74087,39729,,301,,2446,0,99206,10128,1500,15741,24613,48919,4268,5586,9,1496,100713,4141,24527,69289,20031,67,9986,30929
-1,17,2,2.41176,0,2,0,2,1,41,,16185,2746,27170,0.166667,238,1004,1,0,17,35881,13119,,,,2746,9844,1047,10085,1987,1722,676,402,387,2658,790,42,4966,603,2201,77,1228,269,40,2380
-1,13,6,6.15385,2,28,4,71,2,2701,,18361,4392,12557,0.5,388,860,1,1,13,87564,59487,,,865.5,6154.5,73,35,18725,10,84293,13652,16227,327,5844,4449,17550,18270,3,330516,33788,110109,472565,296482,34264
-1,1,18,1,1,0,2,0,1,200,,88556,3643,3,9.5,535,718,2,0,1,88556,88556,50.5,256.333,814,9642.5,141,31,1542,14,22,14,6,7,11,44,13,53,9,320,127,305,14,3,28
