#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12,gap13,gap14,gap15,gap16,gap17,gap18,gap19,gap20
-1,18,2,1.55556,1,0,0,1,1,10353,,20203,246,828,0.157895,2182,1074,0,1,14,45971,10486,,246,,,2,971,37161,13045,78143,2748,1353,11472,120,1008,138,150,1133,14497,5759,8817,8263,1688,1766,118456
-1,9,11,2,1,0,0,1,1,42,,22244,646,23,1.2,1012,1349,1,2,9,40056,22875,35,95.8,688.5,5147,15,84914,53456,29679,5,157,1391,19783,67,1666,1513,8684,6992,10120,176,14,12,4,4427,7278
-1,1,19,1,1,1,2,0,1,56514,,55993,1361,45,10,229,518,1,0,1,55993,55993,13,384.6,1025.6,4685.25,92,62,53,87,51,3978,169,8,3,2735,12,29,328,1108,125,168,40,221,20,744
-1,6,14,1.16667,1,1,1,1,1,82355,,14743,212,966,2.14286,528,1526,2,1,5,18661,18661,19,261,597.333,,170887,2998,2640,1220,1942,1451,2577,479,1247,1473,1876,1468,10,4,15,72,468,14,24,251
-1,5,15,4,1,11,1,13,1,4582,,23728,1424,166,2.66667,813,1025,1,2,5,49512,41872,8.33333,429,923.375,4504,0,62143,961,108,4326,15763,8,67,330,4231,12897,2734,285,10,4386,880,339,1296,299,8556
-1,9,11,4.33333,1,6,3,7,2,672,,32411,3282,134867,1.2,393,621,2,1,9,37670,66390,11,88,1074,5640.67,22,1768,1564,11,65,811,56576,195196,51332,492,736,130,5042,6,20,64,4318,2755,8755,4564
-1,11,9,1.54545,3,2,4,2,1,763,,22696,4779,134937,0.833333,735,678,1,1,11,44666,45185,,233.75,,8414.8,65749,19,100,22,2971,1202,6232,22922,22375,23878,3827,11332,12393,26623,1024,20519,146930,134447,44089,30876
-1,2,18,2,4,10,3,9,2,49,,7908,1804,28,6.33333,311,781,2,5,2,11863,11863,29.4,252,1286.25,4402.83,22,18839,11519,20564,77324,3165,68948,1351,41546,338771,264,14029,7111,3191,11555,25691,40,19,20193,4355
-1,0,20,,1,,1,,2,7578,,,8751,,21,619,0,0,,0,,,54,289.5,1018.5,13101.7,62,22,44,4,1,5,440,159,129,15,78,21,14,315,1586,502,113,4,444,17
-1,18,2,1.5,-1,1,2,2,1,5035,,44515,404,8716,0.157895,907,993,1,2,16,61444,48737,,404,,,37497,7067,7270,4277,19508,7314,45354,34432,44723,19464,3462,5797,58672,3298,8659,810,55378,22411,4282,4338
-1,9,11,3.33333,1,9,1,12,1,3792,,53505,4349,85,1.2,592,1048,0,0,9,88379,68652,,417,1000.5,5678.12,11874,15916,4145,36,1458,2606,3230,8421,89,30,2543,117,434,7133,1162,260,1110,5,27382,7
